"Gemeinde"	"absPov0"	"absPov1"	"relPov0"	"relPov1"	"pov_rel_municip0"	"pov_rel_municip1"	"relPov"	"pov_rel_municip"	"absPov"	"nHH"
301	1647	122	1575	194	1551	218	0.109666478236292	0.123233465234596	0.0689655172413793	1769
302	368	11	351	28	335	44	0.0738786279683377	0.116094986807388	0.029023746701847	379
303	1104	42	1060	86	1011	135	0.075043630017452	0.117801047120419	0.0366492146596859	1146
304	595	33	573	55	548	80	0.0875796178343949	0.127388535031847	0.0525477707006369	628
305	504	24	489	39	473	55	0.0738636363636364	0.104166666666667	0.0454545454545455	528
306	5376	606	5064	918	5069	913	0.15346038114343	0.152624540287529	0.101303911735206	5982
307	966	37	931	72	859	144	0.0717846460618146	0.143569292123629	0.036889332003988	1003
308	115	5	112	8	111	9	0.0666666666666667	0.075	0.0416666666666667	120
309	476	25	456	45	446	55	0.0898203592814371	0.109780439121756	0.0499001996007984	501
310	800	37	763	74	738	99	0.0884109916367981	0.118279569892473	0.044205495818399	837
311	1364	76	1318	122	1249	191	0.0847222222222222	0.132638888888889	0.0527777777777778	1440
312	1177	60	1121	116	1087	150	0.0937752627324171	0.121261115602264	0.0485044462409054	1237
321	1560	154	1494	220	1461	253	0.128354725787631	0.147607934655776	0.0898483080513419	1714
322	165	10	151	24	157	18	0.137142857142857	0.102857142857143	0.0571428571428571	175
323	270	16	251	35	244	42	0.122377622377622	0.146853146853147	0.0559440559440559	286
324	275	15	258	32	252	38	0.110344827586207	0.131034482758621	0.0517241379310345	290
325	85	4	82	7	82	7	0.0786516853932584	0.0786516853932584	0.0449438202247191	89
326	275	20	253	42	262	33	0.142372881355932	0.111864406779661	0.0677966101694915	295
329	5860	764	5394	1230	5576	1048	0.185688405797101	0.158212560386473	0.115338164251208	6624
331	909	103	867	145	871	141	0.143280632411067	0.139328063241107	0.101778656126482	1012
332	1171	97	1111	157	1111	157	0.123817034700315	0.123817034700315	0.0764984227129338	1268
333	578	51	535	94	545	84	0.149443561208267	0.133545310015898	0.0810810810810811	629
334	156	12	144	24	143	25	0.142857142857143	0.148809523809524	0.0714285714285714	168
335	98	4	88	14	91	11	0.137254901960784	0.107843137254902	0.0392156862745098	102
336	69	7	64	12	65	11	0.157894736842105	0.144736842105263	0.0921052631578947	76
337	1393	138	1326	205	1314	217	0.133899412148922	0.141737426518615	0.0901371652514696	1531
338	546	59	509	96	526	79	0.158677685950413	0.130578512396694	0.0975206611570248	605
339	140	7	128	19	137	10	0.129251700680272	0.0680272108843537	0.0476190476190476	147
340	210	7	201	16	193	24	0.0737327188940092	0.110599078341014	0.032258064516129	217
341	194	7	184	17	181	20	0.0845771144278607	0.0995024875621891	0.0348258706467662	201
342	1114	144	1052	206	1053	205	0.163751987281399	0.162957074721781	0.114467408585056	1258
344	330	23	298	55	315	38	0.155807365439093	0.107648725212465	0.0651558073654391	353
345	544	80	533	91	533	91	0.145833333333333	0.145833333333333	0.128205128205128	624
351	48968	7255	45002	11221	46359	9864	0.199580242961066	0.175444213222347	0.129039716841862	56223
352	2505	112	2430	187	2244	373	0.0714558654948414	0.142529614061903	0.0427970959113489	2617
353	1757	66	1714	109	1570	253	0.0597915523861766	0.13878222709819	0.036204059243006	1823
354	1157	42	1122	77	1034	165	0.0642201834862385	0.137614678899083	0.0350291909924937	1199
355	15660	1561	14862	2359	14654	2567	0.136983914987515	0.149062191510365	0.0906451425585042	17221
356	5292	269	5108	453	4685	876	0.0814601690343463	0.15752562488761	0.0483725948570401	5561
357	328	24	296	56	313	39	0.159090909090909	0.110795454545455	0.0681818181818182	352
358	1119	85	1077	127	1012	192	0.105481727574751	0.159468438538206	0.0705980066445183	1204
359	1914	66	1847	133	1719	261	0.0671717171717172	0.131818181818182	0.0333333333333333	1980
360	3612	219	3478	353	3271	560	0.0921430435917515	0.146175933176716	0.0571652310101801	3831
361	3989	367	3776	580	3716	640	0.133149678604224	0.14692378328742	0.0842516069788797	4356
362	4421	513	4235	699	4150	784	0.141670044588569	0.158897446291042	0.103972436157276	4934
363	6343	951	5909	1385	6160	1134	0.189882094872498	0.155470249520154	0.1303811351796	7294
371	17723	4594	15985	6332	17809	4508	0.283729892010575	0.201998476497737	0.205852041044943	22317
372	981	43	956	68	888	136	0.06640625	0.1328125	0.0419921875	1024
381	603	39	580	62	568	74	0.0965732087227414	0.115264797507788	0.0607476635514019	642
382	301	8	296	13	281	28	0.0420711974110032	0.0906148867313916	0.0258899676375405	309
383	1289	127	1215	201	1195	221	0.141949152542373	0.156073446327684	0.0896892655367232	1416
385	328	17	310	35	303	42	0.101449275362319	0.121739130434783	0.0492753623188406	345
386	516	34	493	57	475	75	0.103636363636364	0.136363636363636	0.0618181818181818	550
387	1784	280	1670	394	1677	387	0.190891472868217	0.1875	0.135658914728682	2064
388	455	31	439	47	427	59	0.0967078189300412	0.121399176954733	0.0637860082304527	486
389	23	1	22	2	21	3				24
390	488	32	471	49	460	60	0.0942307692307692	0.115384615384615	0.0615384615384615	520
391	312	13	298	27	281	44	0.0830769230769231	0.135384615384615	0.04	325
392	1104	226	1021	309	1068	262	0.232330827067669	0.196992481203008	0.169924812030075	1330
393	312	35	306	41	300	47	0.118155619596542	0.135446685878963	0.100864553314121	347
394	228	14	215	27	202	40	0.111570247933884	0.165289256198347	0.0578512396694215	242
401	448	31	431	48	422	57	0.100208768267223	0.118997912317328	0.0647181628392484	479
402	225	9	216	18	212	22	0.0769230769230769	0.094017094017094	0.0384615384615385	234
403	411	16	401	26	370	57	0.0608899297423888	0.133489461358314	0.0374707259953162	427
404	6180	798	5751	1227	5893	1085	0.175838349097163	0.1554886787045	0.114359415305245	6978
405	638	28	614	52	585	81	0.0780780780780781	0.121621621621622	0.042042042042042	666
406	1211	85	1110	186	1127	169	0.143518518518519	0.130401234567901	0.0655864197530864	1296
407	592	34	540	86	556	70	0.137380191693291	0.111821086261981	0.0543130990415335	626
408	71	1	70	2	67	5	0.0277777777777778	0.0694444444444444	0.0138888888888889	72
409	846	73	811	108	782	137	0.117519042437432	0.149075081610446	0.0794341675734494	919
410	111	4	105	10	105	10	0.0869565217391304	0.0869565217391304	0.0347826086956522	115
411	171	3	154	20	148	26	0.114942528735632	0.149425287356322	0.0172413793103448	174
412	2217	189	2120	286	2045	361	0.118869492934331	0.150041562759767	0.0785536159600998	2406
413	798	42	763	77	738	102	0.0916666666666667	0.121428571428571	0.05	840
414	892	45	854	83	829	108	0.0885805763073639	0.115261472785486	0.048025613660619	937
415	582	37	559	60	547	72	0.0969305331179321	0.116316639741519	0.0597738287560582	619
416	51	1	48	4	48	4	0.0769230769230769	0.0769230769230769	0.0192307692307692	52
417	88	5	86	7	83	10	0.0752688172043011	0.10752688172043	0.0537634408602151	93
418	1050	144	990	204	1022	172	0.170854271356784	0.144053601340034	0.120603015075377	1194
419	39	4	39	4	39	4				43
420	879	115	829	165	846	148	0.165995975855131	0.148893360160966	0.11569416498994	994
421	33	2	33	2	33	2				35
422	65	4	63	6	63	6	0.0869565217391304	0.0869565217391304	0.0579710144927536	69
423	89	3	84	8	83	9	0.0869565217391304	0.0978260869565217	0.0326086956521739	92
424	753	44	671	126	692	105	0.158092848180678	0.131744040150565	0.055207026348808	797
431	578	75	548	105	552	101	0.160796324655436	0.154670750382848	0.114854517611026	653
432	189	17	178	28	186	20	0.135922330097087	0.0970873786407767	0.0825242718446602	206
433	263	42	240	65	253	52	0.213114754098361	0.170491803278689	0.137704918032787	305
434	437	59	415	81	415	81	0.163306451612903	0.163306451612903	0.118951612903226	496
435	181	22	163	40	168	35	0.197044334975369	0.172413793103448	0.108374384236453	203
436	178	18	168	28	164	32	0.142857142857143	0.163265306122449	0.0918367346938776	196
437	36	1	28	9	32	5				37
438	450	47	421	76	415	82	0.152917505030181	0.164989939637827	0.0945674044265594	497
439	530	56	506	80	501	85	0.136518771331058	0.145051194539249	0.0955631399317406	586
440	147	6	141	12	140	13	0.0784313725490196	0.0849673202614379	0.0392156862745098	153
441	313	41	293	61	308	46	0.172316384180791	0.129943502824859	0.115819209039548	354
442	39	9	38	10	38	10				48
443	1472	357	1317	512	1511	318	0.279934390377255	0.173865500273373	0.195188627665391	1829
444	659	47	613	93	612	94	0.131728045325779	0.13314447592068	0.0665722379603399	706
445	438	76	390	124	432	82	0.24124513618677	0.159533073929961	0.147859922178988	514
446	1297	179	1152	324	1263	213	0.219512195121951	0.144308943089431	0.121273712737127	1476
447	154	22	147	29	147	29	0.164772727272727	0.164772727272727	0.125	176
448	353	38	328	63	339	52	0.161125319693095	0.132992327365729	0.0971867007672634	391
491	225	17	209	33	216	26	0.136363636363636	0.107438016528926	0.0702479338842975	242
492	518	43	499	62	478	83	0.110516934046346	0.14795008912656	0.0766488413547237	561
493	177	4	175	6	166	15	0.0331491712707182	0.0828729281767956	0.0220994475138122	181
494	286	22	274	34	259	49	0.11038961038961	0.159090909090909	0.0714285714285714	308
495	291	30	282	39	273	48	0.121495327102804	0.149532710280374	0.0934579439252336	321
496	1244	78	1188	134	1153	169	0.101361573373676	0.127836611195159	0.0590015128593041	1322
497	226	12	218	20	202	36	0.0840336134453782	0.151260504201681	0.0504201680672269	238
498	457	40	442	55	440	57	0.110663983903421	0.114688128772636	0.0804828973843058	497
499	228	15	220	23	216	27	0.0946502057613169	0.111111111111111	0.0617283950617284	243
500	163	5	157	11	149	19	0.0654761904761905	0.113095238095238	0.0297619047619048	168
501	175	15	164	26	158	32	0.136842105263158	0.168421052631579	0.0789473684210526	190
502	337	16	325	28	304	49	0.0793201133144476	0.138810198300283	0.0453257790368272	353
532	68	3	65	6	64	7	0.0845070422535211	0.0985915492957746	0.0422535211267606	71
533	1197	90	1160	127	1115	172	0.0986790986790987	0.133644133644134	0.0699300699300699	1287
534	168	5	164	9	157	16	0.0520231213872832	0.092485549132948	0.0289017341040462	173
535	36	3	32	7	30	9				39
536	63	3	65	1	61	5	0.0151515151515152	0.0757575757575758	0.0454545454545455	66
537	134	4	130	8	124	14	0.0579710144927536	0.101449275362319	0.0289855072463768	138
538	699	43	671	71	642	100	0.0956873315363881	0.134770889487871	0.0579514824797844	742
539	379	13	363	29	334	58	0.0739795918367347	0.147959183673469	0.0331632653061225	392
