BFS,pov_abs,pov_rel,pov_rel_municip,Bevölkerung,absolutpoverty,relativepoverty,relativeregionalpoverty,id,diff
Mühledorf (BE)  ,6,20,55,269,2.2304833,7.4349442,20.446096,875,-18.215612
Zwieselberg     ,1,43,43,285,.3508772,15.087719,15.087719,947,-14.736842
Deisswil bei Münchenbuchsee     ,7,14,21,97,7.216495,14.43299,21.649485,535,-14.432989
Kernenried      ,10,44,68,460,2.173913,9.565217,14.782609,411,-12.608696
Mirchel ,6,29,79,595,1.0084034,4.8739495,13.277311,615,-12.268908
Scheunen        ,0,9,9,79,0,11.392406,11.392406,550,-11.392406
Clavaleyres     ,6,18,11,45,13.333333,40,24.444445,661,-11.111112
Golaten ,9,37,43,307,2.931596,12.052117,14.006515,664,-11.074919
Merzligen       ,8,12,54,429,1.8648019,2.7972028,12.587413,741,-10.72261
Mont-Tramelan   ,1,27,12,107,.93457943,25.233644,11.214953,437,-10.280374
Oberhofen am Thunersee  ,130,218,368,2380,5.4621849,9.1596642,15.462185,934,-10
Meikirch        ,80,153,330,2523,3.1708283,6.0642095,13.079667,307,-9.9088383
Kirchlindach    ,92,157,381,3005,3.061564,5.2246256,12.678868,354,-9.6173038
Trimstein       ,9,28,61,548,1.6423358,5.109489,11.131387,631,-9.4890509
Jens    ,17,29,86,730,2.3287671,3.9726028,11.780822,738,-9.452055
Wald (BE)       ,25,76,142,1247,2.0048115,6.0946269,11.38733,888,-9.3825188
Walliswil bei Niederbipp        ,8,23,29,224,3.5714285,10.267858,12.946428,990,-9.375
Grafenried      ,36,63,132,1029,3.4985423,6.1224489,12.827989,539,-9.3294468
Muri bei Bern   ,536,783,1713,12857,4.1689353,6.0900679,13.323482,356,-9.1545467
Kaufdorf        ,41,71,142,1105,3.7104073,6.4253392,12.850678,869,-9.1402712
Bolligen        ,230,342,808,6398,3.5948734,5.3454204,12.628946,352,-9.0340729
Souboz  ,7,20,20,144,4.8611112,13.888889,13.888889,712,-9.0277786
Bremgarten bei Bern     ,126,197,536,4589,2.7456963,4.2928743,11.680104,353,-8.9344082
Mattstetten     ,28,29,83,626,4.4728436,4.6325879,13.258786,543,-8.7859421
Allmendingen    ,5,30,51,526,.95057034,5.7034221,9.6958179,630,-8.7452478
Tägertschi      ,10,22,46,422,2.3696682,5.2132702,10.900474,625,-8.5308056
Vechigen        ,125,264,553,5035,2.4826217,5.2432971,10.983118,359,-8.5004959
Bellmund        ,53,72,190,1632,3.2475491,4.4117646,11.642157,732,-8.3946075
Därligen        ,17,41,51,411,4.1362529,9.9756689,12.408759,575,-8.2725067
Prêles  ,29,61,108,961,3.0176899,6.3475547,11.238294,725,-8.2206039
Gurbrü  ,4,20,25,260,1.5384616,7.6923075,9.6153851,665,-8.0769234
