"BFS","pov_abs","pov_rel","pov_rel_municip","Bevölkerung","medianincome","absolutpoverty","relativepoverty","relativeregionalpoverty","id","diff","abskat","relkat","diffkat"
"Aarberg ",247,348,405,4045,68604.938,6.1063042,8.6032143,10.012361,301,3.9060564,5,5,6
"Bargen (BE)     ",25,48,72,973,73310.148,2.5693731,4.9331961,7.3997946,302,4.8304214,2,2,6
"Grossaffoltern  ",77,162,278,2871,76947.859,2.6819923,5.6426334,9.6830368,303,7.0010443,2,3,7
"Kallnach        ",72,109,172,1591,72296.172,4.5254555,6.851037,10.810811,304,6.2853556,3,5,7
"Kappelen        ",40,88,114,1328,71447.203,3.0120482,6.6265059,8.5843372,305,5.572289,2,3,7
"Lyss    ",1070,1546,1547,13563,64168.473,7.8891101,11.398658,11.406031,306,3.5169206,6,6,5
"Meikirch        ",80,153,333,2515,85552.398,3.1809144,6.083499,13.240557,307,10.059643,2,6,7
"Niederried bei Kallnach ",7,9,13,291,77684.703,2.4054983,3.0927835,4.4673538,308,2.0618556,2,1,5
"Radelfingen     ",27,65,75,1192,69683.422,2.2651007,5.4530201,6.2919464,309,4.0268459,2,2,6
"Rapperswil (BE) ",64,136,183,2181,73634.828,2.9344337,6.2356715,8.3906469,310,5.456213,2,3,6
"Schüpfen        ",137,238,380,3589,74224.75,3.8172193,6.6313734,10.587908,311,6.7706885,3,5,7
"Seedorf (BE)    ",119,215,278,2975,71094.672,4,7.2268906,9.3445377,312,5.3445377,3,3,6
"Aarwangen       ",312,401,455,4203,68730.875,7.4232693,9.5408039,10.825601,321,3.4023314,6,5,5
"Auswil  ",15,53,36,438,57221.152,3.4246576,12.100456,8.2191782,322,4.7945204,3,2,6
"Bannwil ",33,68,75,703,65824.797,4.6941676,9.6728306,10.668563,323,5.9743953,3,5,7
"Bleienbach      ",28,60,69,672,68470.719,4.1666665,8.9285717,10.267858,324,6.101191,3,5,7
"Busswil bei Melchnau    ",15,21,21,215,64129.672,6.9767442,9.7674417,9.7674417,325,2.7906976,5,3,5
"Gondiswil       ",31,63,47,698,55857.914,4.4412608,9.0257883,6.7335243,326,2.2922635,3,2,5
"Langenthal      ",1472,2224,1826,14688,58963.699,10.021787,15.141612,12.431917,329,2.4101305,6,6,5
"Lotzwil ",230,306,294,2464,62442.969,9.3344154,12.418831,11.931818,331,2.5974026,6,6,5
"Madiswil        ",156,265,269,3128,64392.375,4.9872122,8.4718666,8.5997438,332,3.6125317,3,3,5
"Melchnau        ",104,190,164,1525,60640.32,6.8196721,12.459017,10.754098,333,3.9344258,5,5,6
"Obersteckholz   ",23,49,53,434,65987.297,5.2995391,11.290322,12.211982,334,6.9124427,5,6,7
"Oeschenbach     ",14,37,23,252,54706.902,5.5555553,14.68254,9.1269846,335,3.5714293,5,3,5
"Reisiswil       ",9,21,19,182,60168.477,4.945055,11.538462,10.439561,336,5.4945059,3,5,6
"Roggwil (BE)    ",281,393,432,3814,66375.07,7.3675933,10.304143,11.326691,337,3.9590974,6,5,6
"Rohrbach        ",109,166,135,1382,56573.852,7.8871202,12.011578,9.7684517,338,1.8813314,6,3,5
"Rohrbachgraben  ",15,30,12,421,52656.594,3.5629454,7.1258907,2.8503563,339,-0.71258903,3,1,2
"Rütschelen      ",12,34,55,576,71980.922,2.0833333,5.9027777,9.5486107,340,7.4652777,2,3,7
"Schwarzhäusern  ",11,26,28,513,69456.703,2.1442494,5.0682263,5.4580898,341,3.3138404,2,1,5
"Thunstetten     ",290,401,398,3018,63087.25,9.6090126,13.286945,13.187541,342,3.5785284,6,6,5
"Ursenbach       ",49,95,59,893,57571.922,5.4871221,10.638298,6.6069427,344,1.1198206,5,2,5
"Wynau   ",155,169,169,1426,64415.887,10.869565,11.851333,11.851333,345,0.98176765,6,6,5
"Bern    ",11393,17221,14921,110008,59439.75,10.35652,15.654316,13.563559,351,3.2070389,6,6,5
"Bolligen        ",215,360,788,6343,86917.594,3.3895633,5.6755481,12.423143,352,9.0335798,2,6,7
"Bremgarten bei Bern     ",115,184,525,4541,93539.398,2.5324819,4.051971,11.56133,353,9.0288477,2,6,7
"Kirchlindach    ",87,162,379,2985,91418.898,2.914573,5.4271355,12.696817,354,9.7822447,2,6,7
"Köniz   ",2922,4301,4800,39662,67295.977,7.3672533,10.844133,12.102264,355,4.7350111,6,6,6
"Muri bei Bern   ",512,775,1680,12737,90500.156,4.0197849,6.0846353,13.189919,356,9.1701345,3,6,7
"Oberbalm        ",42,107,63,883,57554.797,4.7565117,12.117781,7.134768,357,2.3782563,3,2,5
"Stettlen        ",168,251,430,2990,79044.727,5.6187291,8.3946486,14.381271,358,8.7625427,5,7,7
"Vechigen        ",113,260,553,4986,83429.547,2.2663457,5.214601,11.091055,359,8.8247089,2,5,7
"Wohlen bei Bern ",429,662,1169,9560,82473.305,4.4874477,6.924686,12.228033,360,7.7405853,3,6,7
"Zollikofen      ",727,1059,1235,9823,67793.172,7.4009976,10.780821,12.572534,361,5.171536,6,6,6
"Ittigen ",1062,1414,1626,11020,68799.5,9.6370239,12.831216,14.754991,362,5.1179667,6,7,6
"Ostermundigen   ",1854,2534,1976,15429,56153.266,12.016333,16.423618,12.807052,363,0.79071903,7,6,5
"Biel/Bienne     ",7727,10426,6970,46392,49394.219,16.65589,22.473701,15.024142,371,-1.6317472,7,7,2
"Evilard ",72,115,283,2645,91351.898,2.7221172,4.347826,10.699433,372,7.9773159,2,5,7
"Arch    ",73,121,144,1551,70507.75,4.7066407,7.8014183,9.2843323,381,4.5776916,3,3,6
"Büetigen        ",20,28,71,849,80847.977,2.3557127,3.2979977,8.3627796,382,6.0070667,2,3,7
"Büren an der Aare       ",261,384,426,3367,66733.313,7.7517076,11.404812,12.652213,383,4.9005055,6,6,6
"Diessbach bei Büren     ",42,74,89,887,71326.406,4.7350621,8.3427286,10.033822,385,5.2987599,3,5,6
"Dotzigen        ",72,109,138,1409,71755.953,5.1100073,7.7359829,9.7941799,386,4.6841726,4,4,6
"Lengnau (BE)    ",496,693,666,4626,62953.902,10.722006,14.980545,14.396887,387,3.674881,6,7,5
"Leuzigen        ",48,79,103,1175,70611.203,4.0851064,6.7234044,8.7659578,388,4.6808515,3,3,6
"Meienried       ",2,4,5,59,73016.438,,6.7796612,,389,,,,
"Meinisberg      ",70,108,129,1341,72416.805,5.219985,8.0536909,9.6196871,390,4.3997021,5,3,6
"Oberwil bei Büren       ",24,48,87,793,72344.109,3.0264816,6.0529633,10.970996,391,7.9445143,2,5,7
"Pieterlen       ",397,510,407,3039,56614.5,13.063508,16.781836,13.392564,392,0.32905579,7,6,5
"Rüti bei Büren  ",65,78,83,838,69408.188,7.7565632,9.3078756,9.9045343,393,2.1479712,6,5,5
"Wengi   ",26,57,77,612,68679.336,4.2483659,9.3137255,12.581699,394,8.333334,3,6,7
